MNXref	KEGG	BiGG	MetaCyc	ModelSEED	Rhea	EC
MNXR94847		34PHACTE|R_34PHACTE				
MNXR94848		34dhpactex|R_34dhpactex		rxn07972		
MNXR94849		35CGMPtn|R_35CGMPtn				
MNXR94850		35PHACTE|R_35PHACTE				
MNXR94851		3AIBTm|R_3AIBTm		rxn01481		2.6.1.40
MNXR94852		3AIB_Dtm|R_3AIB_Dtm|D_3AIBt|R_D_3AIBt				
MNXR94853		3AIBt|R_3AIBt|3AIBtm|R_3AIBtm				
MNXR94854	R09983	3AMACHYD|R_3AMACHYD	RXN0-6452		34947|34948|34949|34950	3.5.1.-
MNXR94855		3AMBAt2|R_3AMBAt2		rxn05475		
MNXR94856		3AMPt6|R_3AMPt6		rxn05476		
MNXR94857		3AMPtex|R_3AMPtex		rxn07973		
MNXR94858		3C3HMPt|R_3C3HMPt|3C3HMPth|R_3C3HMPth|3C3HMPtm|R_3C3HMPtm				
MNXR94859		3C4MOPtm|R_3C4MOPtm		rxn09800		
MNXR94860		3CMPt6|R_3CMPt6		rxn05477		
MNXR94861		3CMPtex|R_3CMPtex		rxn07974		
MNXR94862	R04711	3DH5HPBMTm|R_3DH5HPBMTm	2.1.1.114-RXN	rxn03224	14121|14122|14123|14124	2.1.1.114
MNXR94863		3DH5HPBtm|R_3DH5HPBtm		rxn13199		
MNXR94864		3DPHBH1|R_3DPHBH1				
MNXR94865		3DPHBH2|R_3DPHBH2				
MNXR94866	R02978	3DSPHR|R_3DSPHR	3-DEHYDROSPHINGANINE-REDUCTASE-RXN	rxn02134	22640|22641|22642|22643	1.1.1.102
MNXR94867		3GMPt6|R_3GMPt6		rxn05478		
MNXR94868		3GMPtex|R_3GMPtex		rxn07975		
MNXR94869		3HAACOAT100|R_3HAACOAT100		rxn12752		
MNXR94870		3HAACOAT120|R_3HAACOAT120		rxn12753		
MNXR94871		3HAACOAT121|R_3HAACOAT121		rxn12754		
MNXR94872		3HAACOAT140|R_3HAACOAT140		rxn12755		
MNXR94873		3HAACOAT141|R_3HAACOAT141		rxn12756		
MNXR94874		3HAACOAT60|R_3HAACOAT60		rxn12757		
MNXR94875		3HAACOAT80|R_3HAACOAT80		rxn12758		
MNXR94876	R04535	3HAD100|R_3HAD100|3HAD100_1|R_3HAD100_1		rxn05333		2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.58;4.2.1.59;4.2.1.60;4.2.1.61
MNXR94877	R04965	3HAD120|R_3HAD120|3HAD120_1|R_3HAD120_1		rxn05331		2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.58;4.2.1.59;4.2.1.60;4.2.1.61
MNXR94878		3HAD121|R_3HAD121		rxn07976		4.2.1.61
MNXR94879	R04568	3HAD140|R_3HAD140|3HAD140_1|R_3HAD140_1	RXN-9537	rxn05335		2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61
MNXR94880		3HAD141|R_3HAD141		rxn07977		4.2.1.61
MNXR94881	R04544	3HAD160|R_3HAD160|3HAD160_1|R_3HAD160_1		rxn05332		2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.59;4.2.1.61
MNXR94882		3HAD161|R_3HAD161		rxn07978		4.2.1.61
MNXR94883	R07764	3HAD180|R_3HAD180|3HAD180_1|R_3HAD180_1		rxn07979		2.3.1.-;4.2.1.-;4.2.1.61
MNXR94884		3HAD181|R_3HAD181|3HAD181_1|R_3HAD181_1		rxn07980		4.2.1.61
MNXR94885		3HAD40|R_3HAD40		rxn07981		4.2.1.58
MNXR94886	R04428	3HAD40_1|R_3HAD40_1		rxn05329		2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.58;4.2.1.59
MNXR94887	R04954	3HAD60|R_3HAD60|3HAD60_1|R_3HAD60_1		rxn05330		2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.58;4.2.1.59
MNXR94888	R04537	3HAD80|R_3HAD80|3HAD80_1|R_3HAD80_1	4.2.1.59-RXN	rxn05334		2.3.1.-;2.3.1.85;2.3.1.86;4.2.1.58;4.2.1.59;4.2.1.61
MNXR94889	R02665	3HAO|R_3HAO		rxn01927	17953|17954|17955|17956	1.13.11.6
MNXR94890		3HBCDm|R_3HBCDm|HBCHLR|R_HBCHLR				4.2.1.55
MNXR94892		3HBCOARc|R_3HBCOARc				
