rxn00546	1.1.1.17
rxn00547	2.7.1.1|2.7.1.4
rxn00548	4.1.2.22
rxn00549	3.1.3.11
rxn00550	3.1.3.46
rxn00551	2.7.1.90
rxn00552	3.5.99.6
rxn00553	2.4.1.14
rxn00554	2.7.1.11
rxn00555	2.6.1.16
rxn00556	2.7.1.11
rxn00557	2.7.1.11
rxn00558	5.3.1.9
rxn00559	5.3.1.8
rxn00560	6.3.4.6
rxn00561	3.5.3.2
rxn00562	4.3.2.3
rxn00563	3.5.3.14
rxn00564	4.2.1.69
rxn00565	1.13.11.18
rxn00566	4.1.99.1|4.4.1.1|4.4.1.28|4.4.1.8
rxn00567	1.7.2.1
rxn00568	1.6.6.-|1.7.1.15|1.7.1.4
rxn00569	1.7.1.4
rxn00570	1.7.3.4|1.7.3.6
rxn00571	1.6.6.1|1.7.1.1|1.7.1.2
rxn00572	1.7.1.2|1.7.1.3
rxn00573	1.7.3.1
rxn00574	null
rxn00575	3.2.1.10|3.2.1.20|3.2.1.48
rxn00577	2.4.1.7
rxn00578	3.1.3.24
rxn00579	2.4.1.13
rxn00580	1.1.99.13
rxn00581	2.4.1.167
rxn00582	5.4.99.11
rxn00583	1.3.1.19
rxn00584	1.3.1.25
rxn00585	1.3.1.20
rxn00586	1.14.13.7
rxn00587	1.13.11.2
rxn00588	1.13.11.1
rxn00589	1.14.13.1
rxn00590	1.14.12.10
rxn00591	1.3.1.25
rxn00592	4.1.1.46
rxn00593	4.1.1.63
rxn00594	1.14.12.1
rxn00595	1.14.12.1
rxn00596	2.1.1.6
rxn00597	1.14.13.31
rxn00598	2.3.1.-|2.3.1.16|2.3.1.174
rxn00599	2.3.1.37
rxn00600	2.3.1.37
rxn00601	2.3.1.109
rxn00602	5.4.99.2
rxn00603	1.1.1.200
rxn00604	1.1.1.363|1.1.1.49
rxn00605	2.4.1.15
rxn00606	3.2.1.122|3.2.1.93
rxn00607	3.2.1.122
rxn00608	3.2.1.86
rxn00609	null
rxn00610	3.1.3.21
rxn00611	1.1.1.8|1.1.1.94
rxn00612	1.1.1.94
rxn00613	1.1.1.177
rxn00614	1.1.3.21
rxn00615	2.7.1.30
rxn00616	1.1.5.3|1.1.99.5
rxn00617	2.7.1.142
rxn00618	2.4.1.137
rxn00619	2.4.1.96
rxn00620	3.6.1.16
rxn00621	2.7.7.39
rxn00622	3.1.4.46
rxn00623	1.8.1.2|1.8.2.2
rxn00624	4.1.1.12
rxn00625	null
rxn00626	1.1.2.2
rxn00627	2.7.1.3
rxn00629	1.1.1.11|1.1.1.67
rxn00630	1.1.1.138
rxn00631	1.1.1.124
rxn00632	3.1.3.-
rxn00633	1.1.99.28
rxn00634	1.1.1.14|1.1.1.15
rxn00635	2.7.1.1
rxn00636	5.3.1.7
rxn00638	1.1.1.132
rxn00639	3.6.1.-|3.6.1.21
rxn00640	2.7.7.22
rxn00641	2.7.7.13
rxn00642	4.2.1.47
rxn00643	5.1.3.18
rxn00644	1.8.1.6
rxn00645	1.13.11.20
rxn00646	6.3.2.2
rxn00647	2.6.1.1|2.6.1.3
rxn00649	2.5.1.47|2.5.1.65
rxn00650	3.4.11.1|3.4.11.2|3.4.11.23|3.4.13.-|3.4.13.18
rxn00651	4.4.1.10
rxn00652	5.1.1.10
rxn00653	1.2.1.-|1.2.1.19|1.2.1.3|1.2.1.5
rxn00654	3.5.1.6
rxn00655	1.5.1.26
rxn00656	2.6.1.18
rxn00657	2.6.1.19|2.6.1.55
rxn00658	3.5.1.21
rxn00659	6.3.2.11
rxn00660	3.4.13.4
rxn00661	6.3.2.11
rxn00662	3.5.3.17
rxn00663	null
rxn00664	null
rxn00665	null
rxn00666	null
rxn00667	2.3.1.94
rxn00668	1.3.1.-|1.3.1.84
rxn00669	6.2.1.13
rxn00670	2.3.1.-|2.3.1.222|2.3.1.8
rxn00671	1.2.1.27
rxn00672	4.1.1.41|4.1.1.94|7.2.4.3
rxn00673	1.3.99.3
rxn00674	6.2.1.1|6.2.1.17
rxn00675	6.2.1.1|6.2.1.17
rxn00676	2.3.1.16|2.3.1.9
rxn00677	2.8.3.1
rxn00678	2.1.3.1
rxn00679	2.3.3.5|4.1.3.31
rxn00680	2.3.3.11
rxn00681	null
rxn00682	4.1.3.24
rxn00684	1.5.1.3
rxn00685	1.5.1.3
rxn00686	1.5.1.3
rxn00687	1.5.1.3
rxn00688	1.5.1.6
rxn00689	6.3.2.17
rxn00690	6.3.4.3
rxn00691	3.5.1.10
rxn00692	2.1.2.1
rxn00693	2.1.1.13
rxn00695	2.7.7.27
rxn00696	2.7.1.10
rxn00697	3.6.1.21
rxn00698	2.4.1.20
rxn00699	2.4.1.31
rxn00700	2.7.7.34
rxn00701	2.7.7.12
rxn00702	2.7.7.33
rxn00703	2.4.1.139
rxn00704	5.4.2.2|5.4.2.5
rxn00705	2.7.1.41
rxn00706	3.6.1.5|3.6.1.6|3.6.1.64
rxn00707	2.7.1.48
rxn00708	3.1.3.5
rxn00709	2.7.1.48
rxn00710	4.1.1.23
rxn00711	2.4.2.9
rxn00712	2.7.1.48
rxn00713	2.7.1.48
rxn00714	3.6.1.17
rxn00715	2.7.1.48
rxn00716	4.1.1.66
rxn00717	3.5.4.1
rxn00718	1.3.3.7
rxn00719	1.3.1.1
rxn00720	1.3.1.2
rxn00721	2.7.7.55
rxn00722	1.14.13.35
rxn00723	6.2.1.32
rxn00724	1.13.11.23
rxn00725	2.1.1.111
rxn00726	4.1.3.27
rxn00727	4.1.3.27
rxn00728	3.7.1.3
rxn00729	3.5.1.9
rxn00730	2.3.1.113
rxn00731	4.1.1.24
rxn00732	null
rxn00733	null
rxn00734	null
rxn00735	1.1.1.85
rxn00736	4.1.1.3
rxn00737	4.3.1.19
rxn00738	3.5.99.7|4.1.99.4-
rxn00739	2.3.3.6
rxn00740	2.5.1.48|4.3.1.-
rxn00741	1.1.1.27
rxn00742	4.4.1.1
rxn00743	3.1.3.1|3.1.3.2
rxn00744	2.7.1.29
rxn00745	2.7.1.121
rxn00746	4.1.2.2
rxn00747	5.3.1.1
rxn00748	4.2.3.3
rxn00749	1.2.99.3
rxn00750	null
rxn00751	2.7.1.32
rxn00752	1.1.3.17
rxn00753	2.3.1.6
rxn00754	3.1.1.7|3.1.1.8
rxn00755	2.8.2.6
rxn00756	3.1.6.6
rxn00757	3.1.1.8
rxn00758	3.1.4.2|3.1.4.46
rxn00759	4.5.1.2
rxn00760	null
rxn00761	1.14.12.13
rxn00762	1.1.1.6
rxn00763	1.1.1.-|1.1.1.1|1.1.1.21|1.1.1.72
rxn00764	1.1.1.156
rxn00765	1.1.1.2|1.1.1.21|1.1.1.372|1.1.1.72
rxn00766	3.1.3.19
rxn00767	2.7.1.79
rxn00768	4.2.1.30
rxn00769	4.2.1.30
rxn00770	2.7.6.1
rxn00771	2.7.1.18
rxn00772	2.7.1.15
rxn00773	2.7.7.35
rxn00774	6.3.4.7
rxn00775	3.6.1.-|3.6.1.13|3.6.1.21|3.6.1.53
rxn00776	3.2.-.-|4.2.1.70
rxn00777	5.3.1.6
rxn00778	5.4.2.2|5.4.2.7
rxn00779	1.2.1.9
rxn00780	2.7.1.28
rxn00781	1.2.1.12|1.2.1.59
rxn00782	1.2.1.13|1.2.1.59
rxn00783	4.1.2.21|4.1.2.55
rxn00784	4.1.2.4
rxn00785	2.2.1.1
rxn00786	4.1.2.13
rxn00787	4.1.2.40
rxn00789	2.4.2.17
rxn00790	2.4.2.14
rxn00791	2.4.2.18
rxn00792	6.2.1.11|6.3.4.10|6.3.4.11|6.3.4.15|6.3.4.9
rxn00793	6.2.1.11
rxn00794	3.5.1.12
rxn00795	3.5.1.12
rxn00796	null
rxn00797	3.2.2.3|3.2.2.8
rxn00798	5.3.1.20
rxn00799	4.2.1.2
rxn00800	4.3.2.2
rxn00801	3.7.1.-|3.7.1.20|3.7.1.5
rxn00802	4.3.2.1
rxn00803	5.2.1.1
rxn00804	1.4.1.9
rxn00805	2.3.1.66
rxn00806	2.6.1.42|2.6.1.6|2.6.1.67
rxn00807	5.4.3.7
rxn00808	2.7.1.6
rxn00809	1.1.1.21
rxn00810	1.1.1.48
rxn00811	1.1.1.21
rxn00812	1.1.1.120|1.1.1.359|1.1.1.360|1.1.1.48
rxn00813	1.1.1.120|1.1.1.48
rxn00814	1.1.3.9
rxn00815	1.1.3.9
rxn00816	3.2.1.108|3.2.1.23
rxn00817	3.2.1.22
rxn00818	3.2.1.22
rxn00819	3.2.1.22
rxn00820	1.7.99.4
rxn00821	1.8.5.1
rxn00822	1.8.4.4
rxn00824	1.8.4.3
rxn00826	1.8.4.4
rxn00827	2.7.7.43
rxn00828	null
rxn00829	4.1.1.33
rxn00830	5.3.3.2
rxn00831	3.1.3.5|3.1.3.99
rxn00832	2.1.2.3|3.5.4.10
rxn00833	3.2.2.12
rxn00834	1.1.1.205
rxn00835	2.7.1.73
rxn00836	2.4.2.8
rxn00837	1.6.6.8|1.7.1.7
