M_1	M_2	M_3	M_4	M_5	M_6	M_7	M_8	M_9	M_10	M_11	M_12	M_13	M_14	M_15	M_16	M_17	M_18	M_19	M_20	M_21	M_22	M_23	M_24	M_25	M_26	M_27	M_28	M_29	M_30	M_31	M_32	M_33	M_34	M_35	M_36	M_37	M_38	M_39	M_40	M_41	M_42	M_43	M_44	M_45	M_46	M_47	M_48	M_49	M_50	M_51	M_52	M_53	M_54	M_55	M_56	M_57	M_58	M_59	M_60	M_61	M_62	M_63	M_64	M_65	M_66	M_67	M_68	M_69	M_70	M_71	M_72	M_73	M_74	M_75	M_76	M_77	M_78	M_79	M_80	M_81	M_82	M_83	M_84	M_85	M_86	M_87	M_88	M_89	M_90	M_91	M_92	M_93	M_94	M_95	M_96	M_97
64	67	81	68	70	75	80	67	72	68	71	69	50	72	68	68	77	58	52	52	65	68	81	76	68	98	81	66	56	65	70	61	65	80	93	60	67	70	69	51	58	57	63	59	63	55	63	69	62	66	56	68	59	76	61	61	93	85	63	74	77	52	68	77	84	76	63	89	61	71	49	68	56	78	65	58	66	69	60	68	60	60	81	48	61	52	55	51	55	64	60	61	68	89	49	65	60
64	68	81	66	70	73	80	67	72	68	72	72	51	71	68	68	77	59	50	55	65	68	81	77	69	96	81	66	55	64	70	62	65	80	97	59	65	72	72	51	62	57	63	58	63	63	62	69	69	64	55	74	59	63	61	62	93	85	66	74	71	52	72	72	83	76	61	89	60	71	51	70	56	73	65	58	66	73	60	68	61	74	86	48	61	52	62	50	55	65	61	65	68	86	51	64	59
65	68	82	67	74	74	80	67	67	68	72	75	51	72	68	69	75	59	52	50	65	68	81	76	69	96	81	66	54	66	70	62	68	80	93	59	65	70	72	50	61	57	63	59	63	56	67	69	62	66	55	74	59	60	60	61	88	85	65	74	77	52	72	81	84	75	61	90	61	73	49	68	54	73	64	58	66	69	60	68	60	73	86	51	61	52	63	51	51	67	61	65	68	89	49	65	59
64	68	73	64	74	73	80	67	72	68	72	72	51	71	68	69	75	62	52	52	65	69	78	74	69	96	81	68	55	66	70	61	66	77	91	60	65	70	71	51	63	57	63	58	63	61	63	72	69	66	59	65	59	64	60	61	86	87	66	74	77	52	68	81	84	75	63	90	60	73	49	68	56	73	68	59	66	69	60	70	61	74	81	48	61	52	62	51	55	67	62	65	68	86	51	64	59
63	65	82	57	74	73	80	66	72	68	71	70	51	72	68	63	75	58	52	52	65	68	81	76	69	96	81	66	55	64	69	59	73	80	93	61	66	70	67	51	63	57	63	59	63	55	63	72	72	68	55	74	59	76	60	61	91	85	63	74	77	52	72	81	83	76	63	90	61	71	48	70	55	73	68	58	66	69	60	68	61	73	86	48	61	52	61	55	51	66	56	65	69	86	51	65	63
65	68	73	64	72	75	73	67	72	66	72	72	51	71	68	61	75	58	52	55	64	68	81	77	70	98	81	66	57	66	70	61	73	80	99	60	65	72	71	51	63	59	63	58	64	55	62	69	69	68	55	73	59	76	60	61	93	85	66	74	73	52	72	81	83	75	63	89	61	71	48	68	56	73	68	58	66	69	60	68	61	72	81	50	61	45	62	49	52	66	56	65	68	87	64	65	63
65	69	75	57	73	65	80	67	67	68	72	72	51	72	68	63	77	59	52	50	67	63	81	77	70	98	81	68	53	66	70	62	65	80	91	60	66	70	68	51	58	57	63	59	63	61	62	69	62	68	55	68	59	76	61	61	93	85	63	75	77	53	68	81	84	75	61	90	61	71	49	68	56	73	68	58	66	69	60	68	59	74	85	50	61	55	62	51	55	67	62	65	68	86	50	65	59
64	69	73	68	74	74	80	67	67	68	71	78	51	71	58	68	77	58	51	51	65	69	81	76	70	96	81	68	54	66	70	61	72	80	93	59	65	71	70	51	58	57	63	57	63	55	63	69	69	66	55	73	59	76	60	61	93	85	63	74	71	52	67	77	83	76	62	89	60	71	51	68	57	73	68	59	66	73	60	68	61	72	81	50	61	52	63	51	51	64	56	65	68	84	51	65	56
65	69	73	64	70	71	80	68	71	68	71	78	51	79	69	70	75	58	51	51	66	69	81	77	69	96	80	66	55	66	70	65	64	79	91	59	67	70	70	49	63	54	63	58	63	55	62	69	69	66	56	68	59	76	61	59	93	85	63	74	72	52	70	81	83	76	64	89	61	71	49	68	56	77	68	59	66	69	60	68	59	74	81	48	61	53	62	51	52	69	62	65	68	86	51	65	59
65	69	81	62	72	74	80	67	72	68	72	76	51	72	68	68	77	58	51	50	67	63	78	77	67	96	81	66	55	66	70	61	65	80	93	60	66	72	70	51	63	57	63	59	63	55	61	69	62	66	56	71	59	76	61	61	93	85	66	75	77	52	68	81	84	76	61	90	61	66	49	71	56	73	65	58	66	69	60	68	58	74	86	51	61	52	63	51	51	67	56	65	62	84	49	63	56
64	68	81	57	72	74	73	67	67	68	71	72	51	70	68	70	75	62	51	53	67	68	81	77	70	96	81	66	54	67	70	61	68	80	93	60	66	70	70	51	61	57	63	59	63	63	63	69	62	66	56	68	59	76	60	61	93	85	63	74	71	52	72	81	84	76	63	90	60	71	49	68	56	73	68	57	66	69	60	68	61	74	86	47	59	49	63	51	55	66	62	65	66	86	51	65	56
